Lugar,Dirección,Latitud,Longitud
Robin's Apartment,"851 8th Ave, Brooklyn",406.698,-739.785
The Fortress of Barnitude,"345 E 80th St, NY",407.731,-739.542
Robin's Locket (Central Park),"1802 E 65th St, NY",407.680,-739.705
Cafe L'amour,"315 Amsterdam Ave, NY",407.811,-739.796
Citi Bike (Bronx Mugging),Brook Ave & E 148 St,408.143,-739.135
Manhattan Bridge View,"35 Manhattan Brg, Brooklyn",407.027,-739.880
Red Hook Treatment Plant,"Building 280, Flushing Ave",407.025,-739.715
Dowisetrepla,"250 Main St, Brooklyn",407.021,-739.912
Loretta Stinson's House,"5 Beebe St, Staten Island",406.305,-740.895
St. Cloud (Minnesota),"411 E Lake Blvd, MN",455.505,-941.482
Wesleyan University,"45 Wyllys Ave, CT",415.552,-726.569
Buttercup Bake Shop,"167 Madison Ave, NY",407.490,-739.818
Columbia University,"116th and Broadway, NY",408.075,-739.626
Wrong Best Burger,"167 W 12th St, NY",407.369,-739.996
Old Best Burger Location,W 106th St & Manhattan Ave,408.001,-739.623
Shelter Island (Wedding),"Shelter Island, NY",410.718,-723.384
Central Park Zoo,"Harbor Seals, NY",407.678,-739.718
The Dakota,"1 W 72nd St, NY",407.766,-739.763
Hotel Pennsylvania,"401 7th Ave, NY",407.499,-739.913
Zoey and the Captain's Condo,"2109 Broadway, NY",407.806,-739.813
Lily's Grandparents House,"East Meadow, NY",407.132,-735.594
MacLaren's / Ted's Apt,"240 W 55th St, NY",407.643,-739.822
Empire State Building,"350 5th Ave, NY",407.484,-739.857
Goliath National Bank,"450 Lexington Ave, NY",407.538,-739.749